id,user,uid,version,changeset,timestamp
8946809,RichRico,2219338,16,39222089,2016-05-10T16:23:13Z
8946811,Bike Mapper,74705,9,39028386,2016-05-02T01:56:34Z
8946830,oba510,933797,14,45994123,2017-02-11T10:20:54Z
8946857,Bike Mapper,74705,4,38630304,2016-04-16T20:09:02Z
8946871,adbrown,54598,7,5874366,2010-09-25T20:47:08Z
8946874,balrog-kun,20587,4,4245390,2010-03-27T12:15:43Z
8946882,balrog-kun,20587,12,4245390,2010-03-27T12:15:44Z
8946885,phoenix23,383461,10,20994138,2014-03-08T20:30:49Z
8946902,mk408,201724,4,3550753,2010-01-06T03:26:35Z
8946903,n76,318696,10,23690881,2014-07-02T23:09:05Z
8946908,karitotp,2748195,41,44933296,2017-01-05T19:16:58Z
8946911,balrog-kun,20587,3,4245390,2010-03-27T12:15:49Z
8946912,adbrown,54598,5,329434,2009-04-08T08:07:13Z
8946922,doug_sfba,1796809,16,44331254,2016-12-11T20:16:58Z
8946927,balrog-kun,20587,3,4245390,2010-03-27T12:15:52Z
8946933,beddy,3207726,6,44317511,2016-12-11T08:28:15Z
8946940,jeff2,456309,10,8356028,2011-06-06T03:31:03Z
8946946,mk408,201724,4,3939568,2010-02-21T22:22:13Z
8946952,balrog-kun,20587,7,4245390,2010-03-27T12:15:55Z
8946953,mk408,201724,9,3939568,2010-02-21T22:22:03Z
8946963,mk408,201724,6,3939568,2010-02-21T22:22:22Z
8946985,balrog-kun,20587,6,4245390,2010-03-27T12:16:05Z
8946986,balrog-kun,20587,4,4245390,2010-03-27T12:16:05Z
8946991,Bike Mapper,74705,9,38627156,2016-04-16T16:57:41Z
8946992,balrog-kun,20587,4,4245390,2010-03-27T12:16:07Z
8947009,mk408,201724,4,3939568,2010-02-21T22:22:22Z
8947011,balrog-kun,20587,4,4245390,2010-03-27T12:16:10Z
8947020,NE2,207745,14,13381044,2012-10-06T06:18:59Z
8947022,balrog-kun,20587,3,4245390,2010-03-27T12:16:12Z
8947025,beddy,3207726,12,39226874,2016-05-10T19:49:05Z
8947029,balrog-kun,20587,3,4245390,2010-03-27T12:16:13Z
8947039,Bike Mapper,74705,5,27192946,2014-12-03T04:38:56Z
8947044,balrog-kun,20587,3,4245390,2010-03-27T12:16:16Z
8947051,paulmach,91499,5,24795376,2014-08-16T21:13:28Z
8947053,paulmach,91499,7,24795376,2014-08-16T21:13:28Z
8947065,Minh Nguyen,33757,12,32413857,2015-07-04T20:11:01Z
8947089,dudidu,41907,2,559456,2008-05-31T06:39:42Z
8947090,Bike Mapper,74705,5,16488694,2013-06-09T21:36:20Z
8947092,Bike Mapper,74705,4,16488694,2013-06-09T21:36:20Z
8947093,mk408,201724,3,3939568,2010-02-21T22:22:00Z
